"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.777670216E0,6.967339516E-1,-6.584255695E-1,9.828497887E0
2.789668981E0,7.565908432E-1,-6.584255695E-1,9.852440834E0
2.801668212E0,7.494080067E-1,-6.823683381E-1,9.830892563E0
2.813666610E0,7.206767201E-1,-6.656084061E-1,9.821314812E0
2.825664242E0,7.302538157E-1,-6.847625971E-1,9.818921089E0
2.837662707E0,7.374366522E-1,-6.608198285E-1,9.811738014E0
2.849661172E0,7.110996246E-1,-6.895511150E-1,9.809344292E0
2.861658803E0,6.919454336E-1,-6.680026650E-1,9.816526413E0
2.873657268E0,7.110996246E-1,-6.177229285E-1,9.818921089E0
2.885656633E0,6.919454336E-1,-6.201171875E-1,9.838075638E0
2.897655165E0,5.530774593E-1,-6.967339516E-1,9.814132690E0
2.909653630E0,5.315290093E-1,-6.608198285E-1,9.833286285E0
2.921651829E0,6.009629965E-1,-6.225114465E-1,9.835680962E0
2.933650294E0,6.464542150E-1,-6.009629965E-1,9.840469360E0
2.945648759E0,5.794144869E-1,-6.033572555E-1,9.814132690E0
2.957647224E0,5.099805593E-1,-6.584255695E-1,9.816526413E0
2.969645622E0,5.746259689E-1,-6.703969240E-1,9.830892563E0
2.981644753E0,6.632141471E-1,-6.799740195E-1,9.833286285E0
2.993642385E0,6.943396926E-1,-6.751855016E-1,9.845257759E0
3.005639917E0,6.680026650E-1,-7.063110471E-1,9.821314812E0
3.017637882E0,6.823683381E-1,-7.039167881E-1,9.845257759E0
3.029636347E0,7.087053657E-1,-7.015225291E-1,9.826104164E0
3.041634545E0,6.584255695E-1,-7.039167881E-1,9.811738014E0
3.053633943E0,6.392713785E-1,-6.727912426E-1,9.847652435E0
3.065633540E0,6.177229285E-1,-6.871568561E-1,9.814132690E0
3.077632637E0,5.818088055E-1,-6.847625971E-1,9.830892563E0
3.089631300E0,5.698373914E-1,-6.680026650E-1,9.852440834E0
3.101629830E0,5.291347504E-1,-6.775797606E-1,9.828497887E0
3.113628460E0,5.626545548E-1,-6.440598965E-1,9.838075638E0
3.125626858E0,5.650488734E-1,-6.177229285E-1,9.826104164E0
3.137625323E0,5.458946824E-1,-6.081457734E-1,9.814132690E0
3.149623855E0,5.770202279E-1,-5.865973234E-1,9.778218269E0
3.161622820E0,6.129343510E-1,-6.105400920E-1,9.759063721E0
3.173621218E0,6.320885420E-1,-6.129343510E-1,9.778218269E0
3.185619650E0,6.105400920E-1,-6.225114465E-1,9.773429871E0
3.197618115E0,6.057515144E-1,-6.512427330E-1,9.823709488E0
3.209616380E0,5.794144869E-1,-6.991282701E-1,9.823709488E0
3.221614778E0,5.171633363E-1,-6.991282701E-1,9.850046158E0
3.233613243E0,5.147690773E-1,-6.751855016E-1,9.857229233E0
3.245611808E0,5.267404318E-1,-6.871568561E-1,9.845257759E0
3.257610273E0,5.004034638E-1,-6.584255695E-1,9.814132690E0
3.269608938E0,4.668835998E-1,-6.296942830E-1,9.816526413E0
3.281607336E0,5.195576549E-1,-5.746259689E-1,9.797372818E0
3.293605801E0,5.889915824E-1,-5.554717779E-1,9.773429871E0
3.305603398E0,5.985686779E-1,-5.578660369E-1,9.720755577E0
3.317602128E0,5.913859010E-1,-5.770202279E-1,9.756669998E0
3.329600928E0,5.650488734E-1,-6.225114465E-1,9.783006668E0
3.341600124E0,5.578660369E-1,-6.871568561E-1,9.830892563E0
3.353599387E0,5.291347504E-1,-7.254652381E-1,9.847652435E0
3.365598584E0,5.865973234E-1,-7.015225291E-1,9.850046158E0
3.377597582E0,6.153286099E-1,-7.087053657E-1,9.871595383E0
3.389596481E0,6.249057055E-1,-7.063110471E-1,9.890748978E0
3.401594747E0,6.057515144E-1,-6.991282701E-1,9.864412308E0
3.413593279E0,5.626545548E-1,-6.536370516E-1,9.821314812E0
3.425592411E0,6.344828010E-1,-6.081457734E-1,9.826104164E0
3.437590809E0,5.363175869E-1,-7.087053657E-1,9.761458397E0
3.449589274E0,5.530774593E-1,-6.967339516E-1,9.914691925E0
3.461588072E0,5.842030644E-1,-7.470137477E-1,9.775823593E0
3.473586537E0,6.296942830E-1,-1.065452337E0,9.694418907E0
3.485585202E0,6.201171875E-1,-1.125309110E0,9.996097565E0
3.497583734E0,4.740664065E-1,-9.960182905E-1,1.006792545E1
3.509582166E0,4.884320498E-1,-7.637736797E-1,1.002004051E1
3.521580631E0,7.422251701E-1,-5.818088055E-1,9.883566856E0
3.533579029E0,6.871568561E-1,-5.937801600E-1,9.694418907E0
3.545576661E0,5.243461728E-1,-8.068706393E-1,9.584281921E0
3.557575126E0,5.578660369E-1,-9.289786220E-1,9.689630508E0
3.569574091E0,5.339232683E-1,-8.978530765E-1,9.816526413E0
3.581572556E0,5.722316504E-1,-8.332076073E-1,1.002482891E1
3.593571021E0,5.435003638E-1,-8.308133483E-1,1.006553173E1
3.605569386E0,5.051919818E-1,-8.930644989E-1,1.000567436E1
3.617567851E0,5.411061049E-1,-9.026415944E-1,9.828497887E0
3.629565883E0,4.980091453E-1,-8.020820618E-1,9.715967178E0
3.641564281E0,5.099805593E-1,-6.703969240E-1,9.660899162E0
3.653562746E0,5.842030644E-1,-6.656084061E-1,9.651321411E0
3.665562078E0,5.961744189E-1,-7.158881426E-1,9.768641472E0
3.677560109E0,4.788549542E-1,-7.733507752E-1,9.859623909E0
3.689558507E0,5.051919818E-1,-7.757450342E-1,9.885960579E0
3.701557137E0,5.411061049E-1,-7.589851022E-1,9.833286285E0
3.713555800E0,5.626545548E-1,-7.613793612E-1,9.783006668E0
3.725553264E0,5.147690773E-1,-7.565908432E-1,9.751881599E0
3.737552361E0,4.956148863E-1,-8.044763207E-1,9.763853073E0
3.749551024E0,5.315290093E-1,-8.212362528E-1,9.811738014E0
3.761549055E0,5.315290093E-1,-8.236305118E-1,9.823709488E0
3.773547520E0,5.195576549E-1,-8.140534163E-1,9.857229233E0
3.785547318E0,4.980091453E-1,-8.044763207E-1,9.857229233E0
3.797545716E0,5.075862408E-1,-8.332076073E-1,9.833286285E0
3.809544181E0,4.884320498E-1,-8.499675393E-1,9.838075638E0
3.821543180E0,4.788549542E-1,-8.643332124E-1,9.797372818E0
3.833541712E0,5.243461728E-1,-8.451790214E-1,9.823709488E0
3.845540110E0,5.506832004E-1,-8.475732803E-1,9.830892563E0
3.857538675E0,5.004034638E-1,-8.930644989E-1,9.859623909E0
