"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.024071068E0,5.662720650E-4,-2.193617169E-3,-1.206642110E-2
4.036069533E0,1.217271108E-2,-3.610213753E-4,-1.939680427E-2
4.048067931E0,1.644876786E-2,-2.804482123E-3,-2.306199633E-2
4.060066396E0,2.072482556E-2,8.607091149E-4,-2.489459142E-2
4.072064428E0,1.828136481E-2,2.082439605E-3,-1.512074750E-2
4.084062893E0,3.009733045E-3,-5.247943569E-3,-1.070846803E-3
4.096061458E0,-1.714882068E-2,1.002368703E-2,1.664424501E-2
4.108059990E0,-3.547477722E-2,1.368887909E-2,2.580722421E-2
4.120058455E0,-3.791823983E-2,2.693304792E-3,2.641808800E-2
4.132057353E0,-2.875526063E-2,8.607091149E-4,1.908770576E-2
4.144055751E0,-1.409449428E-2,2.082439605E-3,1.508837158E-4
4.156053116E0,6.064059213E-3,1.246714871E-2,-1.878593862E-2
4.168051581E0,1.828136481E-2,1.796493493E-2,-2.672718652E-2
4.180050146E0,2.133568935E-2,-2.804482123E-3,-1.756420918E-2
4.192048809E0,7.285790052E-3,-1.624351740E-2,4.426940344E-3
4.204047405E0,-4.931515083E-3,-2.174130455E-2,2.214203216E-2
4.216046569E0,-6.764111109E-3,-1.868698001E-2,2.763981931E-2
4.228045232E0,-6.153245457E-3,-1.013486460E-2,2.092030086E-2
4.240043862E0,3.009733045E-3,1.471574418E-3,9.924727492E-3
4.252042260E0,9.118385613E-3,2.693304792E-3,2.594344551E-3
4.264040792E0,1.339444239E-2,5.136766005E-3,-4.125173204E-3
4.276038823E0,1.339444239E-2,1.471574418E-3,-1.023382600E-2
4.288037288E0,-4.459316187E-5,8.607091149E-4,-1.634247787E-2
4.300035686E0,-1.775968634E-2,8.607091149E-4,-1.267728582E-2
4.312034151E0,-2.936612442E-2,-1.257832628E-2,-2.903442597E-3
4.324032616E0,-2.875526063E-2,-2.235217020E-2,9.313862771E-3
4.336032914E0,-1.837055013E-2,-1.257832628E-2,1.664424501E-2
4.348031379E0,-4.459316187E-5,2.693304792E-3,1.114645787E-2
4.360030011E0,1.767049916E-2,1.124541834E-2,3.205209970E-3
4.372028476E0,2.744434401E-2,1.491061039E-2,-9.622960351E-3
4.384026941E0,2.194655687E-2,8.607091149E-4,-1.878593862E-2
4.396024506E0,7.285790052E-3,-2.113043889E-2,-2.367286198E-2
4.408022904E0,-2.488054102E-3,-1.929784380E-2,-1.756420918E-2
4.420021202E0,-7.374976296E-3,1.471574418E-3,3.205209970E-3
4.432019800E0,-1.409449428E-2,8.801957592E-3,2.702895366E-2
4.444018563E0,-1.714882068E-2,1.063455269E-2,3.741366044E-2
4.456016826E0,-2.264660597E-2,8.607091149E-4,2.580722421E-2
4.468016424E0,-2.936612442E-2,-2.804482123E-3,-4.599815293E-4
4.480015855E0,-2.631179802E-2,3.915035166E-3,-2.855978161E-2
4.492015685E0,-2.142487653E-2,3.915035166E-3,-3.894449398E-2
4.504015448E0,-2.488054102E-3,-1.380005665E-2,-2.978151292E-2
4.514015680E0,1.644876786E-2,-2.235217020E-2,-1.145555638E-2
4.526015144E0,3.110953607E-2,-9.523999877E-3,6.870401558E-3
4.538014675E0,3.843991831E-2,5.747631192E-3,1.603338122E-2
4.550013673E0,3.599645570E-2,2.498438698E-4,1.236818917E-2
4.562012539E0,2.377915196E-2,-6.469673477E-3,5.037805531E-3
4.574011505E0,3.620598232E-3,-1.318919193E-2,-1.070846803E-3
4.586009970E0,-1.409449428E-2,-1.013486460E-2,-8.401229978E-3
4.598008702E0,-2.631179802E-2,-7.080539130E-3,-1.070846803E-3
4.610007167E0,-2.203574218E-2,6.358496379E-3,7.617489900E-4
4.622005399E0,-1.531622373E-2,1.124541834E-2,3.816075157E-3
4.634002897E0,-1.266323728E-3,2.163012698E-2,1.508837158E-4
4.646001362E0,7.896655239E-3,1.735407114E-2,-4.125173204E-3
4.657999493E0,7.285790052E-3,4.525900353E-3,-7.790364325E-3
4.669997958E0,-4.320649896E-3,-7.080539130E-3,-6.568633951E-3
4.681996490E0,-1.775968634E-2,-1.013486460E-2,-7.790364325E-3
4.693995988E0,-2.875526063E-2,1.471574418E-3,-4.125173204E-3
4.705994386E0,-3.364218026E-2,4.525900353E-3,-3.514307784E-3
4.717993151E0,-1.898141578E-2,2.082439605E-3,4.426940344E-3
4.729991616E0,1.339444239E-2,-4.026212730E-3,8.092131466E-3
