"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.544131479E0,-1.652049571E-1,1.474873304E0,9.708784103E0
3.556129344E0,-9.816526622E-2,1.489238977E0,9.739910126E0
3.568127809E0,-1.388679445E-1,1.496421814E0,9.830892563E0
3.580126540E0,-1.029538140E-1,1.472478986E0,9.816526413E0
3.592124639E0,-1.125309169E-1,1.474873304E0,9.828497887E0
3.604123171E0,-1.173194647E-1,1.484450340E0,9.802161217E0
3.616122203E0,-1.149251908E-1,1.484450340E0,9.751881599E0
3.628121234E0,-1.221080124E-1,1.484450340E0,9.744698524E0
3.640119799E0,-1.149251908E-1,1.491633177E0,9.703995705E0
3.652118597E0,-1.292908341E-1,1.498816013E0,9.682447433E0
3.664117062E0,-1.675992310E-1,1.479661822E0,9.670475960E0
3.676115760E0,-1.963305324E-1,1.503604531E0,9.720755577E0
3.688113592E0,-2.274561077E-1,1.513181686E0,9.720755577E0
3.700111357E0,-2.322446555E-1,1.515576005E0,9.708784103E0
3.712109922E0,-2.130904645E-1,1.501210332E0,9.737515450E0
3.724108387E0,-1.747820675E-1,1.486844659E0,9.720755577E0
3.736107351E0,-1.316851079E-1,1.505998850E0,9.718361855E0
3.748105816E0,-7.901106775E-2,1.522758722E0,9.783006668E0
3.760104515E0,-5.985686928E-2,1.532335877E0,9.749486923E0
3.772102613E0,-1.628106833E-1,1.539518714E0,9.785401344E0
3.784101209E0,-2.609759569E-1,1.549095750E0,9.794978142E0
3.796099106E0,-3.088614643E-1,1.537124395E0,9.763853073E0
3.808097769E0,-3.136500120E-1,1.527547359E0,9.787795067E0
3.820096532E0,-2.035133541E-1,1.527547359E0,9.766246796E0
3.832096062E0,-1.484450400E-1,1.503604531E0,9.763853073E0
3.844094527E0,-5.746259540E-2,1.527547359E0,9.739910126E0
3.856092126E0,1.675992459E-2,1.508393168E0,9.641744614E0
3.868090591E0,-2.154847234E-2,1.486844659E0,9.708784103E0
3.880089389E0,-7.901106775E-2,1.472478986E0,9.665687561E0
3.892087053E0,-1.699935049E-1,1.472478986E0,9.627379417E0
3.904085518E0,-1.771763414E-1,1.484450340E0,9.718361855E0
3.916083983E0,-2.106961906E-1,1.494027495E0,9.754275322E0
3.928082515E0,-2.059076279E-1,1.515576005E0,9.830892563E0
3.940080313E0,-2.250618339E-1,1.515576005E0,9.857229233E0
